cluster_id,age,capital-gain,education-num,final-weight,hours-per-week,income,marital-status,native-country,occupation,relationship,type,seed,k
0,-1.0089868645472568,-0.14851648622358782,-0.2757546232285208,-0.04180570773145015,-0.6279352535399508,-0.5680537364912162,0.9944298460974612,0.21550237188711313,0.780242273114401,0.584303709804192,fair,4,10
1,-0.8427526244605655,-0.14390573482507044,-0.09851685972608137,-0.2892705379715114,-0.10334229559356094,-0.5850486126764433,0.8244117731294953,0.19413889502952947,-0.9715593206477291,0.23461261561981578,fair,4,10
2,-0.3326296428411409,-0.10701635719289823,-0.43243524624021923,2.30869120247753,-0.21676514056931775,-0.2673751578295057,0.006250531807257267,-0.2828182583117324,0.1324666926354506,0.08799040205201374,fair,4,10
3,-0.25563518955701514,-0.11862725321210157,-0.18631964218526503,-0.030214039651802756,-0.344314908165614,-0.4240445225006075,-0.9334701900256803,0.19123838945550284,-0.21280084112392728,1.2891700185234551,fair,4,10
4,-0.04069292761768315,0.1432190230276335,0.2326468770473017,-0.04060878914286071,0.30101830211106784,0.23434720339700668,0.31268249931950926,-4.083853607919137,0.14107233758025997,-0.16108544255321902,fair,4,10
5,0.14804543868955514,-0.1333808100288284,0.2562901639794318,-0.11920656898566366,0.8236198797037234,-0.5241377732515142,-0.5122301596973908,0.2190655604346353,1.042296600521672,-0.3550322680580959,fair,4,10
6,0.267143159233928,0.036461525709540955,0.6905291026641366,-0.1613988475925787,0.31005540615286287,1.4091602764002062,-0.36719896351242026,0.2542866505618057,0.06162807355178568,-0.3579268510059829,fair,4,10
7,0.44283561904481744,11.335289403422781,1.3906837738493447,0.09993035407887621,0.6570112534250488,1.7092596723292164,-0.22166001572266927,0.2798649486618716,0.09632298386725129,-0.39361585403386723,fair,4,10
8,0.72702211966704,-0.1215391755174477,-0.6272627948338388,-0.16183926742437538,-0.05276837541428202,-0.4591414506944253,-0.7703834899585819,0.1603487911369904,-0.7087560900975791,-0.3957426565778975,fair,4,10
9,1.7288389254785816,-0.1299177245508416,-0.4227381777373191,-0.5259516801465579,-0.8960809460574627,-0.537250523405492,1.4458571432882674,0.22934780991424142,0.07674514161780996,0.21495983226314172,fair,4,10
