0,1,2,cluster_id,type,seed,k
-0.9607502289712915,-0.32867758685584647,-0.44568281321573494,0,unfair,9,10
-0.7556043050943997,-0.3158634462488722,0.8836362200194885,1,unfair,9,10
-0.6463490865666125,1.9158291632420559,0.0069911691738243405,2,unfair,9,10
-0.31124508169559906,-0.2596158561366415,5.3790389756136285,3,unfair,9,10
-0.015782587055888142,-0.32067701740958887,-0.439499927319086,4,unfair,9,10
0.04625322499859646,0.05707705161960842,2.539616225630925,5,unfair,9,10
0.1606852487759642,5.3495519832517795,-0.17610887777228174,6,unfair,9,10
1.0141093314968093,-0.3062659443713788,0.8062196027808447,7,unfair,9,10
1.2506295448163016,1.440747800324401,-0.19384990771661947,8,unfair,9,10
1.3344439011988387,-0.30450835700615553,-0.44174670107774566,9,unfair,9,10
