0,1,2,cluster_id,type,seed,k
-1.0699048521576557,-0.3346522227127999,-0.2878761583952367,0,unfair,3,10
-0.6851616043423886,-0.2759880685508454,1.360560881765582,1,unfair,3,10
-0.6654940616751042,1.8761487274327204,0.006318213411694699,2,unfair,3,10
-0.37868760764596776,-0.15561898824244233,5.215972532810971,3,unfair,3,10
-0.2817857869124131,-0.3243547499863431,-0.49848985252896566,4,unfair,3,10
0.19908039116387352,5.206696976350181,-0.11826672774161509,5,unfair,3,10
0.6450367557942179,-0.282631471050477,-0.09222653440785598,6,unfair,3,10
1.0687651475323423,-0.020178973858097964,2.3246906124073528,7,unfair,3,10
1.281770810417454,1.3508095537409657,-0.29296484188375144,8,unfair,3,10
1.6000879704579605,-0.35585487716643643,-0.403597587334067,9,unfair,3,10
