0,1,2,cluster_id,type,seed,k
-0.9486698501551712,-0.3313772129539227,-0.29927124377566733,0,unfair,5,10
-0.6993659407132051,-0.2681207244529465,1.4625539806930687,1,unfair,5,10
-0.6448317691920467,1.898473472269034,0.015823713551775857,2,unfair,5,10
-0.311245081695599,-0.2596158561366415,5.379038975613628,3,unfair,5,10
-0.03759070670551063,-0.3147796814788128,-0.5164738244874568,4,unfair,5,10
0.1606852487759642,5.349551983251779,-0.17610887777228174,5,unfair,5,10
0.7723268232718246,-0.2548461007663335,0.3807921657377605,6,unfair,5,10
1.172853083438054,0.09138286450058433,2.515048224940002,7,unfair,5,10
1.2680081680546647,1.532922771062594,-0.2756168701784551,8,unfair,5,10
1.443503773215839,-0.30253909715062893,-0.46373009767577933,9,unfair,5,10
