cluster_id,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,LIMIT_BAL,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX,type,seed,k
0,-0.08309733005172076,-0.3530887504139498,-0.3625092380743155,-0.3664356056507671,-0.3650395384307373,-0.3824081584403876,-0.3851829280494473,-0.395066952834567,-0.2005445995649378,-0.2395275870902529,-0.20460881414814722,-0.16417940981232626,-0.18449480913942218,-0.1848735249870472,-1.285503751024945,fair,8,10
1,-0.6626526219798609,-0.38384337486746384,-0.38298584426926296,-0.38317197791014634,-0.37776785232293786,-0.39261492913887186,-0.38066019579247296,-0.45174395231705794,-0.22855647084146466,-0.24508315221599342,-0.23163175440228323,-0.15154816131269438,-0.18814173327417547,-0.15466682075330107,0.7779051591274546,fair,8,10
2,1.0983457529697354,-0.43152174228562745,-0.4414379875774313,-0.4535440388800154,-0.4341489062300014,-0.4485643345791508,-0.44190594194372806,-0.1665107935632947,-0.2349194080383206,-0.30455262199319305,-0.199117243506722,-0.15923289518680406,-0.23415899444369076,-0.17838877568516914,0.6069718766296227,fair,8,10
3,-0.005608512113934437,1.0557187288413727,1.035725554717309,1.0339186516767414,1.0307955776213602,1.030796959379133,0.9973979620918485,0.24541032688714298,0.24013333408822668,0.17649458400206355,0.04763039983058883,-0.05246973657976478,0.02865039629016132,0.029368977690281246,0.019298942159660652,fair,8,10
4,0.01772235199638508,0.035910692466047965,0.05852037814889917,-0.014627301465536686,0.5966676893338155,0.7667778030746535,0.5435147635568881,0.9221520334209153,1.0259475425696378,2.6792804276097137,9.035624190491886,2.084868597272694,0.16281406666142417,-0.08361723712663816,0.188359756226769,fair,8,10
5,0.12026434498856976,1.8168711220121332,1.8652603532023,1.83812667089018,1.5298298186250914,0.816403761465721,1.8177953593456078,0.9473875881612681,0.7296307195429254,2.5083321904804388,1.4689207357880616,0.6739182113006338,9.117474622428677,0.48743801247622615,-0.5117254097177951,fair,8,10
6,0.1479397475270675,2.944614310710774,3.0877296405360273,3.0822065633284903,3.02368459389399,3.1234955151461783,3.0368638857442996,1.3937033654773612,1.2147974195061393,0.7708414859131636,0.5792712727150199,0.5081958135593915,0.3839975753689866,0.3450417836685402,0.015340996679828684,fair,8,10
7,0.18428713306602296,-0.345886712171993,-0.3437253318192348,-0.2857459297738154,-0.3216366709846896,-0.2034518963581819,-0.2142545117561703,1.4666282447885253,0.5030266390118393,0.8403043025367698,0.408628264994416,0.584042173208956,0.4468975300959274,0.28236920947600297,0.07447030339368203,fair,8,10
8,-0.04225504013111919,0.11628964661713445,0.07759872233099221,0.054197368703932686,-0.1385284195543977,-0.0761069040388064,-0.1989920642441265,1.6834246014215557,1.0339540956286664,1.0331578202558809,0.6267528522630375,0.5301351920547351,0.4701779588469426,8.96160648877,0.004126817820304773,fair,8,10
9,-0.5704430417701083,6.900001774169599,6.445958736041267,5.859521854783759,6.706033960898614,6.783630189633044,7.0074317946801665,2.223185077812433,1.1977073391451005,1.1667432710937855,2.047958222645798,19.649348379868954,0.9467710471419927,1.1848666163187946,-1.285503751024945,fair,8,10
