cluster_id,age,balance,duration,type,seed,k
0,-0.9104924717707394,-0.32643197276335195,-0.4310431691749476,fair,1,10
1,-0.6849095309374051,-0.2972148977812269,0.9050237383949945,fair,1,10
2,-0.4403286259877026,1.9683584367285936,-0.009416375986179894,fair,1,10
3,0.11323189166944608,-0.17020636498043243,5.325024079403299,fair,1,10
4,0.021052381887818997,-0.31932352719421586,-0.42037497245324357,fair,1,10
5,0.16417319970666108,0.07418598824265962,2.6429411800734606,fair,1,10
6,0.16068524877596424,5.349551983251778,-0.1761088777722817,fair,1,10
7,0.8044325150688754,-0.2911694387549733,0.8078507778968134,fair,1,10
8,1.1400243600949669,1.2374485998017088,-0.29037115821721005,fair,1,10
9,1.238203719625694,-0.35161196671931966,-0.431014239198401,fair,1,10
