cluster_id,age,balance,duration,type,seed,k
0,-0.9202888771625116,-0.32974320740412116,-0.47948869884770995,fair,6,10
1,-0.7023399174290874,-0.32503713809850115,0.5683865464649822,fair,6,10
2,-0.4403286259877026,1.9683584367285936,-0.009416375986179894,fair,6,10
3,-0.3032122250067213,-0.03150824152238714,2.064763710560862,fair,6,10
4,0.030834174167704356,-0.3015999769032125,-0.4157784238994159,fair,6,10
5,0.1512179533926441,-0.2007117066096052,4.7995978453643415,fair,6,10
6,0.16068524877596424,5.349551983251778,-0.1761088777722817,fair,6,10
7,0.9592850845952193,-0.3291647108892183,0.9690927407402132,fair,6,10
8,1.1473878120597714,1.2620355717915737,-0.24796092529133176,fair,6,10
9,1.2237894888156096,-0.35127228157929896,-0.43572549509237957,fair,6,10
