cluster_id,age,balance,duration,type,seed,k
0,-0.9015061341032297,-0.34405846612508334,-0.3236566799918887,fair,5,10
1,-0.6100227235402435,-0.25515549310206725,1.3713477404956889,fair,5,10
2,-0.4707865409330305,1.9173925705832344,0.01593417346222641,fair,5,10
3,0.03684537482243345,-0.187908142881522,5.119568645965234,fair,5,10
4,0.008581943189936669,-0.32081334016652036,-0.5233772143635678,fair,5,10
5,0.16068524877596424,5.349551983251778,-0.1761088777722817,fair,5,10
6,0.6623204138782729,-0.2360014945084478,0.4058902035763609,fair,5,10
7,0.9471019186170883,0.0564627464936154,2.6172407633929002,fair,5,10
8,1.0989260235472207,1.460712675581889,-0.26226938634804653,fair,5,10
9,1.3063112357605888,-0.2989750096405245,-0.4671884691886376,fair,5,10
