cluster_id,age,balance,duration,type,seed,k
0,-0.9206717322756828,-0.34547998404626523,-0.47156215022504266,fair,8,10
1,-0.7188863074904909,-0.3312342189606061,0.5893315686111462,fair,8,10
2,-0.4740443105901864,1.934087676709071,0.008505319638616008,fair,8,10
3,-0.12327623517586149,-0.054878506317048735,2.1328431272922157,fair,8,10
4,0.009967504129268905,-0.311932624758143,-0.46596256637225464,fair,8,10
5,0.1512179533926441,-0.2007117066096052,4.7995978453643415,fair,8,10
6,0.16068524877596424,5.349551983251778,-0.1761088777722817,fair,8,10
7,0.8303591899663938,-0.25253310283807523,0.6171986829759046,fair,8,10
8,1.1206552799266767,1.432530711893291,-0.2295917931429833,fair,8,10
9,1.2442987469791116,-0.30843678882023534,-0.48066652495219386,fair,8,10
