cluster_id,age,balance,duration,type,seed,k
0,-0.9216562353581058,-0.3483580238199427,-0.3470699723684293,fair,0,10
1,-0.6182571214363689,-0.25159384319219186,1.27052892830253,fair,0,10
2,-0.43077320169112926,1.956429203632912,0.006871587573936084,fair,0,10
3,0.03684537482243345,-0.187908142881522,5.119568645965234,fair,0,10
4,-0.04926917724659285,-0.30734944853130497,-0.5045490824970277,fair,0,10
5,0.16068524877596424,5.349551983251778,-0.1761088777722817,fair,0,10
6,0.6654465640930605,-0.24074025642797098,0.3759245143221335,fair,0,10
7,0.8764635621823081,0.014019793387291148,2.553181176180936,fair,0,10
8,1.169027344364503,1.2377251871218675,-0.33124921507752536,fair,0,10
9,1.2656798137677463,-0.36856618036340477,-0.48163805589167896,fair,0,10
