cluster_id,age,balance,duration,type,seed,k
0,-0.9256732759597992,-0.348956813737315,-0.392806442225109,fair,2,10
1,-0.6184881887242705,-0.2811346601436262,1.034092762330658,fair,2,10
2,-0.4702340163988749,1.9682553261499864,0.004685672581343151,fair,2,10
3,-0.09151298101859101,-0.21834707822014388,5.518218462781349,fair,2,10
4,-0.011873023087774794,-0.3052276493534776,-0.45180469570431303,fair,2,10
5,0.16068524877596424,5.349551983251778,-0.1761088777722817,fair,2,10
6,0.4715004317113976,0.044076954106817536,2.7169958295113226,fair,2,10
7,0.783422900656576,-0.21204241089474815,0.5215219289687777,fair,2,10
8,1.0900213839618758,1.4598495530695927,-0.25463994602157675,fair,2,10
9,1.2453070938169073,-0.31347799315364605,-0.4927991854340842,fair,2,10
