cluster_id,age,balance,duration,type,seed,k
0,-0.8966150820682135,-0.3354127940735848,-0.34814854473496754,fair,4,10
1,-0.6692809798284323,-0.23491594787583364,1.3521282602147793,fair,4,10
2,-0.4931892856986782,1.919616065567889,0.018880054304781284,fair,4,10
3,0.03684537482243345,-0.187908142881522,5.119568645965234,fair,4,10
4,0.012487175820762704,-0.3385114482422582,-0.5496045668427216,fair,4,10
5,0.16068524877596424,5.349551983251778,-0.1761088777722817,fair,4,10
6,0.5099583203065258,-0.2351515940220479,0.3691628751010659,fair,4,10
7,0.9292772866195269,-0.02499211260249544,2.4832943335275877,fair,4,10
8,1.0977645488186973,1.4330222301855255,-0.27539423514155315,fair,4,10
9,1.320428933232678,-0.31354719021756716,-0.41299086380988265,fair,4,10
