cluster_id,age,balance,duration,type,seed,k
0,-0.9848327996078995,-0.3495856515208868,-0.3094783890650791,fair,3,10
1,-0.5813703798404599,-0.24928325278187075,1.2866514575822874,fair,3,10
2,-0.4335886392070839,1.9325395598442947,0.007997304014263244,fair,3,10
3,0.03684537482243345,-0.187908142881522,5.119568645965234,fair,3,10
4,-0.2679658349351903,-0.3205215205011936,-0.5165422432611745,fair,3,10
5,0.16068524877596424,5.349551983251778,-0.1761088777722817,fair,3,10
6,0.6332433629524872,-0.2709369527237715,-0.11928392370454298,fair,3,10
7,0.9225724192593331,-0.05033302650812075,2.363887289360595,fair,3,10
8,1.1358166732579358,1.2830493436683479,-0.29479744462883656,fair,3,10
9,1.4962501332086229,-0.37600980343315193,-0.3744706000381135,fair,3,10
