cluster_id,age,capital-gain,education-num,final-weight,hours-per-week,income,marital-status,native-country,occupation,relationship,type,seed,k
0,-1.1868566645651688,-0.15627758652672608,-0.5548715887825493,-0.10526520269710474,-0.9280897085231691,-0.5850486126764433,0.9944298460974612,0.22565143390831727,-0.20546229178267328,0.8548172393119299,fair,1,10
1,-0.6805162326595452,-0.14534870703609018,0.24941708264495252,-0.1689661862598249,0.156670363466387,-0.5369162710329679,1.0052532777983396,0.23323374366405913,0.29018469453304774,0.1460417005824972,fair,1,10
2,-0.3080336313272955,-0.1009054448765527,-0.4398725496614102,2.3681536839883144,-0.18393957754777926,-0.20893250038043346,-0.08392107459252039,-0.4257186941738813,0.1309853930957703,0.1738917690674688,fair,1,10
3,-0.227515425756855,-0.12247558715862544,-0.1969907118079259,-0.12661074315154425,-0.3877382308233108,-0.4500893017937574,-0.9781936374253886,0.21250876366503135,-0.23534869659387206,1.2734220223898973,fair,1,10
4,-0.04069292761768315,0.1432190230276335,0.2326468770473017,-0.04060878914286071,0.30101830211106784,0.23434720339700668,0.31268249931950926,-4.083853607919137,0.14107233758025997,-0.16108544255321902,fair,1,10
5,0.2870852130138532,-0.1351892950048771,0.05492408483269608,-0.0936885718261477,0.6742988789605562,-0.476826523761082,-0.6774329742264404,0.21886312074020495,1.1690409818366392,-0.28914169510211374,fair,1,10
6,0.26084315729974805,0.042347631618891025,0.7075173306554794,-0.14055099279535124,0.32400687045678894,1.419977323350242,-0.3918164627915729,0.24472259127221582,0.052400520385896,-0.3515329045648151,fair,1,10
7,0.44283561904481744,11.335289403422781,1.3906837738493447,0.09993035407887621,0.6570112534250488,1.7092596723292164,-0.22166001572266927,0.2798649486618716,0.09632298386725129,-0.39361585403386723,fair,1,10
8,0.424572850196054,-0.12133134785439194,-0.5019922776956216,-0.16984275700270068,0.05428730397815381,-0.4703331984261602,-0.6780008073046678,0.16984984650036586,-0.8173096544400097,-0.45562396376204006,fair,1,10
9,1.8500300187600693,-0.114455734169292,-0.49538543644159144,-0.4746486381267218,-0.8818366206759393,-0.5045465675885253,1.075890411004073,0.2373242002428146,-0.13448947212616205,0.025550808766774902,fair,1,10
